Permission,Short Description,Android Protection Level,Deprecated?,Hidden?,Permission Group,PII Accessed?,PII Type,API Methods,Special Notes,Long Description
ACCESS_NOTIFICATIONS,"Allows an application to read the current set of notifications, including any metadata and intents attached.",Signature | privileged | appop,No,Yes,NONE (private permissions),,,,System API. Test API.,"Allows an application to read the current set of notifications, including any metadata and intents attached."
ACCESS_PDB_STATE,Allows querying state of PersistentDataBlock.,Not for use by 3rd-parties | Signature,No,Yes,NONE (hardware),,,,,Allows querying state of PersistentDataBlock.
ACCESS_SHARED_LIBRARIES,Allows an application to access shared libraries.,Signature | installer,No,Yes,NONE (private permissions),,,,System API.,Allows an application to access shared libraries.
ACCESS_SHORTCUTS,Allows to access all app shortcuts.,Signature | textClassifier,No,Yes,NONE (private permissions),,,,System API.,Allows to access all app shortcuts.
ACCESS_SURFACE_FLINGER,Allows an application to use SurfaceFlinger's low level features.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,System API.,Allows an application to use SurfaceFlinger's low level features.
ACCESS_UCE_OPTIONS_SERVICE,Allows an application to Access UCE-OPTIONS.,Signature | privileged,No,Yes,PHONE,,,,,Allows an application to Access UCE-OPTIONS.
ACCESS_UCE_PRESENCE_SERVICE,Allows an application to Access UCE-Presence.,Signature | privileged,No,Yes,PHONE,,,,,Allows an application to Access UCE-Presence.
ACCESS_VOICE_INTERACTION_SERVICE,Allows an application to interact with the currently active android.service.voice.VoiceInteractionService.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to interact with the currently active android.service.voice.VoiceInteractionService.
ACCESS_VR_MANAGER,Required to make calls to android.service.vr.IVrManager.,Signature,No,Yes,NONE (private permissions),,,,,Required to make calls to android.service.vr.IVrManager.
ACCESS_VR_STATE,Required to access VR-Mode state and state change events via android.app.VrStateCallback.,Signature | preinstalled,No,Yes,NONE (private permissions),,,,,Required to access VR-Mode state and state change events via android.app.VrStateCallback.
ACCESS_WIFI_STATE,Allows applications to access information about Wi-Fi networks.,Normal,No,No,NONE (network),,,,,Allows applications to access information about Wi-Fi networks.
ACCESS_WIMAX_STATE,None,Normal,No,Yes,NONE (network),,,,,None
ACCOUNT_MANAGER,Allows applications to call into AccountAuthenticators.,Not for use by 3rd-parties | Signature,No,No,NONE (account),,,,,Allows applications to call into AccountAuthenticators.
ACTIVITY_EMBEDDING,Allows an application to embed other activities.,Signature | privileged,No,Yes,NONE (access other apps),,,,System API. Test API.,Allows an application to embed other activities.
ACTIVITY_RECOGNITION,Allows an application to recognize physical activity.,Dangerous | instant,No,No,UNDEFINED (ACTIVITY_RECOGNITION),,,,,Allows an application to recognize physical activity.
ADD_VOICEMAIL,Allows an application to add voicemails into the system.,Dangerous,No,No,UNDEFINED (PHONE),,,,,Allows an application to add voicemails into the system.
ADJUST_RUNTIME_PERMISSIONS_POLICY,Allows an application to change policy_fixed permissions.,Signature | installer,No,Yes,NONE (private permissions),,,,System API.,Allows an application to change policy_fixed permissions.
ALLOCATE_AGGRESSIVE,Allows an application to aggressively allocate disk space.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (sdcard),,,,System API.,Allows an application to aggressively allocate disk space.
ALLOW_ANY_CODEC_FOR_PLAYBACK,Allows an application to use any media decoder when decoding for playback.,Signature | privileged,No,Yes,NONE (low-level system),,,,System API.,Allows an application to use any media decoder when decoding for playback.
AMBIENT_WALLPAPER,Allows wallpaper to be rendered in ambient mode.,Signature | preinstalled,No,Yes,NONE (private permissions),,,,System API.,Allows wallpaper to be rendered in ambient mode.
ANSWER_PHONE_CALLS,Allows the app to answer an incoming phone call.,Dangerous | runtime,No,No,UNDEFINED (PHONE),,,,,Allows the app to answer an incoming phone call.
ASEC_ACCESS,Allows access to ASEC non-destructive API calls.,Signature,No,Yes,NONE (low-level system),,,,,Allows access to ASEC non-destructive API calls.
ASEC_CREATE,Allows creation of ASEC volumes.,Signature,No,Yes,NONE (low-level system),,,,,Allows creation of ASEC volumes.
ASEC_DESTROY,Allows destruction of ASEC volumes.,Signature,No,Yes,NONE (low-level system),,,,,Allows destruction of ASEC volumes.
ASEC_MOUNT_UNMOUNT,Allows mount / unmount of ASEC volumes.,Signature,No,Yes,NONE (low-level system),,,,,Allows mount / unmount of ASEC volumes.
ASEC_RENAME,Allows rename of ASEC volumes.,Signature,No,Yes,NONE (low-level system),,,,,Allows rename of ASEC volumes.
AUTHENTICATE_ACCOUNTS,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
BACKUP,Allows an application to control the backup and restore process.,Not for use by 3rd-parties | Signature | privileged,No,Yes (Pending API council approval),NONE (private permissions),,,,System API.,Allows an application to control the backup and restore process.
BATTERY_STATS,Allows an application to collect battery statistics,Signature | privileged | development,No,No,NONE (private permissions),,,,,Allows an application to collect battery statistics
BIND_ACCESSIBILITY_SERVICE,"Must be required by an AccessibilityService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by an AccessibilityService, to ensure that only the system can bind to it."
BIND_APPWIDGET,Allows an application to tell the AppWidget service which application can access AppWidget's data.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permissions),,,,,"Allows an application to tell the AppWidget service which application can access AppWidget's data. The normal user flow is that a user picks an AppWidget to go into a particular host, thereby giving that host application access to the private data from the AppWidget app. An application that has this permission should honor that contract."
BIND_ATTENTION_SERVICE,Must be required by a AttentionService to ensure that only the system can bind to it.,Signature,No,Yes,NONE (private permissions),,,,System API.,Must be required by a AttentionService to ensure that only the system can bind to it.
BIND_AUGMENTED_AUTOFILL_SERVICE,"Must be required by a android.service.autofill.augmented.AugmentedAutofillService, to ensure that only the system can bind to it.",Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,Intended for OEMs and system apps. System API.,"Must be required by a android.service.autofill.augmented.AugmentedAutofillService, to ensure that only the system can bind to it."
BIND_AUTOFILL,Alternative version of BIND_AUTOFILL_FIELD_CLASSIFICATION_SERVICE.,Signature,No,Yes,NONE (private permissions),,,,"This permission was renamed during the O previews but it was supported on the final O release, so we need to carry it over.",Alternative version of BIND_AUTOFILL_FIELD_CLASSIFICATION_SERVICE.
BIND_AUTOFILL_FIELD_CLASSIFICATION_SERVICE,Must be required by an android.service.autofill.AutofillFieldClassificationService to ensure that only the system can bind to it.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,Intended for OEMs and system apps.,Must be required by an android.service.autofill.AutofillFieldClassificationService to ensure that only the system can bind to it.
BIND_AUTOFILL_SERVICE,"Must be required by a AutofillService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by a AutofillService, to ensure that only the system can bind to it."
BIND_CACHE_QUOTA_SERVICE,Must be required by an android.app.usage.CacheQuotaService to ensure that only the system can bind to it.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,Intended for OEMs and system apps.,Must be required by an android.app.usage.CacheQuotaService to ensure that only the system can bind to it.
BIND_CALL_REDIRECTION_SERVICE,"Must be required by a CallRedirectionService, to ensure that only the system can bind to it.",Signature | privileged,No,No,NONE (telephony),,,,,"Must be required by a CallRedirectionService, to ensure that only the system can bind to it."
BIND_CARRIER_MESSAGING_CLIENT_SERVICE,A subclass of CarrierMessagingClientService must be protected with this permission.,Signature,No,No,NONE (private permissions),,,,,A subclass of CarrierMessagingClientService must be protected with this permission.
BIND_CARRIER_MESSAGING_SERVICE,This constant was deprecated in API level 23. Use BIND_CARRIER_SERVICES instead,Signature | privileged,Yes,No,NONE (private permissions),,,,,Removed
BIND_CARRIER_SERVICES,The system process that is allowed to bind to services in carrier apps will have this permission.,Signature | privileged,No,No,NONE (private permissions),,,,,The system process that is allowed to bind to services in carrier apps will have this permission. Carrier apps should use this permission to protect their services that only the system is allowed to bind to.
BIND_CHOOSER_TARGET_SERVICE,"Must be required by a ChooserTargetService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by a ChooserTargetService, to ensure that only the system can bind to it."
BIND_COMPANION_DEVICE_MANAGER_SERVICE,Must be required by the CompanionDeviceManager to ensure that only the system can bind to it.,Signature,No,Yes,NONE (private permissions),,,,,Must be required by the CompanionDeviceManager to ensure that only the system can bind to it.
BIND_CONDITION_PROVIDER_SERVICE,"Must be required by a ConditionProviderService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by a ConditionProviderService, to ensure that only the system can bind to it."
BIND_CONNECTION_SERVICE,"Must be required by a android.telecom.ConnectionService, to ensure that only the system can bind to it. Deprecated, android.telecom.ConnectionService should require BIND_TELECOM_CONNECTION_SERVICE instead.",Signature | privileged,Yes,Yes,NONE (telephony),,,,System API.,"Must be required by a android.telecom.ConnectionService, to ensure that only the system can bind to it. Deprecated, android.telecom.ConnectionService should require BIND_TELECOM_CONNECTION_SERVICE instead."
BIND_CONTENT_CAPTURE_SERVICE,"Must be required by a android.service.contentcapture.ContentCaptureService, to ensure that only the system can bind to it.",Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,Intended for OEMs and system apps. System API.,"Must be required by a android.service.contentcapture.ContentCaptureService, to ensure that only the system can bind to it."
BIND_CONTENT_SUGGESTIONS_SERVICE,"Must be required by a android.service.contentsuggestions.ContentSuggestionsService, to ensure that only the system can bind to it.",Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,Intended for OEMs and system apps. System API.,"Must be required by a android.service.contentsuggestions.ContentSuggestionsService, to ensure that only the system can bind to it."
BIND_DEVICE_ADMIN,"Must be required by device administration receiver, to ensure that only the system can interact with it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by device administration receiver, to ensure that only the system can interact with it."
BIND_DIRECTORY_SEARCH,Allows an application to execute contacts directory search. This should only be used by ContactsProvider.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (install permission),,,,System API.,Allows an application to execute contacts directory search. This should only be used by ContactsProvider.
BIND_DREAM_SERVICE,"Must be required by an DreamService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by an DreamService, to ensure that only the system can bind to it."
BIND_EUICC_SERVICE,Must be required by an EuiccService to ensure that only the system can bind to it.,Signature,No,Yes,NONE (telephony),,,,System API.,Must be required by an EuiccService to ensure that only the system can bind to it.
BIND_EXPLICIT_HEALTH_CHECK_SERVICE,Must be required by an android.service.watchdog.ExplicitHealthCheckService to ensure that only the system can bind to it.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,Intended for OEMs and system apps.,Must be required by an android.service.watchdog.ExplicitHealthCheckService to ensure that only the system can bind to it.
BIND_FINANCIAL_SMS_SERVICE,Must be required by an android.service.sms.FinancialSmsService to ensure that only the system can bind to it.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,Intended for OEMs and system apps.,Must be required by an android.service.sms.FinancialSmsService to ensure that only the system can bind to it.
BIND_IMS_SERVICE,Must be required by an ImsService to ensure that only the system can bind to it.,Signature | privileged | vendorPrivileged,No,Yes,NONE (telephony),,,,System API.,Must be required by an ImsService to ensure that only the system can bind to it.
BIND_INCALL_SERVICE,"Must be required by a InCallService, to ensure that only the system can bind to it.",Signature | privileged,No,No,NONE (telephony),,,,,"Must be required by a InCallService, to ensure that only the system can bind to it."
BIND_INPUT_METHOD,"Must be required by an InputMethodService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by an InputMethodService, to ensure that only the system can bind to it."
BIND_INTENT_FILTER_VERIFIER,"Must be required by intent filter verifier receiver, to ensure that only the system can interact with it.",Signature,No,Yes,NONE (private permissions),,,,,"Must be required by intent filter verifier receiver, to ensure that only the system can interact with it."
BIND_JOB_SERVICE,Allows the system to bind to an application's task services.,Signature,No,Yes,NONE (low-level system),,,,,Allows the system to bind to an application's task services.
BIND_KEYGUARD_APPWIDGET,"Private permission, to restrict who can bring up a dialog to add a new keyguard widget.",Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,"Private permission, to restrict who can bring up a dialog to add a new keyguard widget."
BIND_MIDI_DEVICE_SERVICE,"Must be required by an MidiDeviceService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by an MidiDeviceService, to ensure that only the system can bind to it."
BIND_NETWORK_RECOMMENDATION_SERVICE,Allows the system to bind to the discovered Network Recommendation Service.,Signature,No,Yes,NONE (low-level system),,,,System API.,Allows the system to bind to the discovered Network Recommendation Service.
BIND_NFC_SERVICE,Must be required by a HostApduService or OffHostApduService to ensure that only the system can bind to it.,Signature,No,No,NONE (private permissions),,,,,Must be required by a HostApduService or OffHostApduService to ensure that only the system can bind to it.
BIND_NOTIFICATION_ASSISTANT_SERVICE,Must be required by an android.service.notification.NotificationAssistantService to ensure that only the system can bind to it.,Signature,No,Yes,NONE (private permissions),,,,System API.,Must be required by an android.service.notification.NotificationAssistantService to ensure that only the system can bind to it.
BIND_NOTIFICATION_LISTENER_SERVICE,"Must be required by an NotificationListenerService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by an NotificationListenerService, to ensure that only the system can bind to it."
BIND_PACKAGE_VERIFIER,"Must be required by package verifier receiver, to ensure that only the system can interact with it.",Signature,No,Yes,NONE (private permissions),,,,,"Must be required by package verifier receiver, to ensure that only the system can interact with it."
BIND_PHONE_ACCOUNT_SUGGESTION_SERVICE,"Must be required by a android.telecom.PhoneAccountSuggestionService, to ensure that only the system can bind to it.",Signature,No,Yes,NONE (telephony),,,,System API.,"Must be required by a android.telecom.PhoneAccountSuggestionService, to ensure that only the system can bind to it."
BIND_PRINT_RECOMMENDATION_SERVICE,"Must be required by a android.printservice.recommendation.RecommendationService, to ensure that only the system can bind to it.",Signature,No,Yes,NONE (private permissions),,,,System API.,"Must be required by a android.printservice.recommendation.RecommendationService, to ensure that only the system can bind to it."
BIND_PRINT_SERVICE,"Must be required by a PrintService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by a PrintService, to ensure that only the system can bind to it."
BIND_PRINT_SPOOLER_SERVICE,Must be required by the PrintSpooler to ensure that only the system can bind to it.,Signature,No,Yes,NONE (private permissions),,,,,Must be required by the PrintSpooler to ensure that only the system can bind to it.
BIND_QUICK_SETTINGS_TILE,Allows an application to bind to third party quick settings tiles.,Should only be requested by the System | Signature,No,No,NONE (private permission),,,,"Should only be requested by the System, should be required by TileService declarations.",Allows an application to bind to third party quick settings tiles.
BIND_REMOTE_DISPLAY,"Must be required by a com.android.media.remotedisplay.RemoteDisplayProvider, to ensure that only the system can bind to it.",Signature,No,Yes,NONE (private permission),,,,,"Must be required by a com.android.media.remotedisplay.RemoteDisplayProvider, to ensure that only the system can bind to it."
BIND_REMOTEVIEWS,"Must be required by a RemoteViewsService, to ensure that only the system can bind to it.",Signature | privileged,No,No,NONE (private permissions),,,,,"Must be required by a RemoteViewsService, to ensure that only the system can bind to it."
BIND_RESOLVER_RANKER_SERVICE,"Must be required by services that extend android.service.resolver.ResolverRankerService, to ensure that only the system can bind to them.",Signature,No,Yes,NONE (private permissions),,,,System API.,"Must be required by services that extend android.service.resolver.ResolverRankerService, to ensure that only the system can bind to them."
BIND_ROUTE_PROVIDER,Must be required by a android.media.routing.MediaRouteService to ensure that only the system can interact with it.,Signature,No,Yes,NONE (private permissions),,,,,Must be required by a android.media.routing.MediaRouteService to ensure that only the system can interact with it.
BIND_RUNTIME_PERMISSION_PRESENTER_SERVICE,Must be required by the RuntimePermissionPresenterService to ensure that only the system can bind to it.,Signature,No,Yes,NONE (private permissions),,,,System API.,Must be required by the RuntimePermissionPresenterService to ensure that only the system can bind to it.
BIND_SCREENING_SERVICE,"Must be required by a CallScreeningService, to ensure that only the system can bind to it.",Signature | privileged,No,No,NONE (telephony),,,,,"Must be required by a CallScreeningService, to ensure that only the system can bind to it."
BIND_SETTINGS_SUGGESTIONS_SERVICE,Internal permission to allows an application to bind to suggestion service.,Signature,No,Yes,NONE (private permissions),,,,System API.,Internal permission to allows an application to bind to suggestion service.
BIND_SOUND_TRIGGER_DETECTION_SERVICE,Must be required by system/priv apps implementing sound trigger detection services.,Signature,No,Yes,NONE (private permissions),,,,System API.,Must be required by system/priv apps implementing sound trigger detection services.
BIND_TELECOM_CONNECTION_SERVICE,"Must be required by a ConnectionService, to ensure that only the system can bind to it.",Signature | privileged,No,No,NONE (telephony),,,,,"Must be required by a ConnectionService, to ensure that only the system can bind to it."
BIND_TELEPHONY_DATA_SERVICE,Must be required by a telephony data service to ensure that only the system can bind to it.,Signature,No,Yes,NONE (telephony),,,,System API.,Must be required by a telephony data service to ensure that only the system can bind to it.
BIND_TELEPHONY_NETWORK_SERVICE,Must be required by a NetworkService to ensure that only the system can bind to it.,Signature,No,Yes,NONE (telephony),,,,System API.,Must be required by a NetworkService to ensure that only the system can bind to it.
BIND_TEXT_SERVICE,Must be required by a TextService,Signature,No,No,NONE (private permission),,,,,Must be required by a TextService (e.g. SpellCheckerService) to ensure that only the system can bind to it.
BIND_TEXTCLASSIFIER_SERVICE,"Must be required by a android.service.textclassifier.TextClassifierService, to ensure that only the system can bind to it.",Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,Intended for OEMs and system apps. System API.,"Must be required by a android.service.textclassifier.TextClassifierService, to ensure that only the system can bind to it."
BIND_TRUST_AGENT,"Must be required by an android.service.trust.TrustAgentService, to ensure that only the system can bind to it.",Signature,No,Yes,NONE (private permissions),,,,System API.,"Must be required by an android.service.trust.TrustAgentService, to ensure that only the system can bind to it."
BIND_TV_INPUT,Must be required by a TvInputService to ensure that only the system can bind to it.,Signature | privileged,No,No,NONE (private permissions),,,,,Must be required by a TvInputService to ensure that only the system can bind to it.
BIND_TV_REMOTE_SERVICE,Must be required by a com.android.media.tv.remoteprovider.TvRemoteProvider to ensure that only the system can bind to it.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Must be required by a com.android.media.tv.remoteprovider.TvRemoteProvider to ensure that only the system can bind to it.
BIND_VISUAL_VOICEMAIL_SERVICE,Must be required by a link VisualVoicemailService to ensure that only the system can bind to it.,Signature | privileged,No,No,NONE (telephony),,,,,Must be required by a link VisualVoicemailService to ensure that only the system can bind to it.
BIND_VOICE_INTERACTION,"Must be required by a VoiceInteractionService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by a VoiceInteractionService, to ensure that only the system can bind to it."
BIND_VPN_SERVICE,"Must be required by a VpnService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by a VpnService, to ensure that only the system can bind to it."
BIND_VR_LISTENER_SERVICE,"Must be required by an VrListenerService, to ensure that only the system can bind to it.",Signature,No,No,NONE (private permissions),,,,,"Must be required by an VrListenerService, to ensure that only the system can bind to it."
BIND_WALLPAPER,"Must be required by a WallpaperService, to ensure that only the system can bind to it.",Signature | privileged,No,No,NONE (private permissions),,,,,"Must be required by a WallpaperService, to ensure that only the system can bind to it."
BLUETOOTH,Allows applications to connect to paired bluetooth devices.,Normal,No,No,NONE (peripheral),,,,,Allows applications to connect to paired bluetooth devices.
BLUETOOTH_ADMIN,Allows applications to discover and pair bluetooth devices.,Normal,No,No,NONE (peripheral),,,,,Allows applications to discover and pair bluetooth devices.
BLUETOOTH_MAP,Control access to email providers exclusively for Bluetooth,Signature,No,Yes,NONE (peripheral),,,,,Control access to email providers exclusively for Bluetooth
BLUETOOTH_PRIVILEGED,"Allows applications to pair bluetooth devices without user interaction, and to allow or disallow phonebook access or message access.",Not for use by 3rd-parties | Signature | privileged,No,No,NONE (peripheral),,,,,"Allows applications to pair bluetooth devices without user interaction, and to allow or disallow phonebook access or message access."
BLUETOOTH_STACK,Allows bluetooth stack to access files,This should only be used by Bluetooth apk | Signature,No,Yes,NONE (peripheral),,,,,Allows bluetooth stack to access files
BODY_SENSORS,"Allows an application to access data from sensors that the user uses to measure what is happening inside his/her body, such as heart rate.",Dangerous,No,No,UNDEFINED (SENSORS),,,,,"Allows an application to access data from sensors that the user uses to measure what is happening inside his/her body, such as heart rate."
BRICK,Required to be able to disable the device (very dangerous!).,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,System API.,Required to be able to disable the device (very dangerous!).
BRIGHTNESS_SLIDER_USAGE,Allows an application to collect usage infomation about brightness slider changes.,Not for use by 3rd-parties | Signature | privileged | development,No,Yes,NONE (private permissions),,,,System API. Test API.,Allows an application to collect usage infomation about brightness slider changes.
BROADCAST_NETWORK_PRIVILEGED,Allows an application to broadcast privileged networking requests.,Not for use by 3rd-parties | Signature | privileged,Yes,Yes,NONE (private permissions),,,,Use REQUEST_NETWORK_SCORES instead.,Allows an application to broadcast privileged networking requests.
BROADCAST_PACKAGE_REMOVED,Allows an application to broadcast a notification that an application package has been removed.,Not for use by 3rd-parties | Siganture,No,No,NONE (private permission),,,,,Allows an application to broadcast a notification that an application package has been removed.
BROADCAST_SMS,Allows an application to broadcast an SMS receipt notification.,Not for use by 3rd-parties | Siganture,No,No,NONE (private permission),,,,,Allows an application to broadcast an SMS receipt notification.
BROADCAST_STICKY,Allows an application to broadcast sticky intents.,Normal,No,No,NONE (low-level system),,,,,"Allows an application to broadcast sticky intents. These are broadcasts whose data is held by the system after being finished, so that clients can quickly retrieve that data without having to wait for the next broadcast."
BROADCAST_WAP_PUSH,Allows an application to broadcast a WAP PUSH receipt notification.,Not for use by 3rd-parties | Siganture,No,No,NONE (private permission),,,,,Allows an application to broadcast a WAP PUSH receipt notification.
C2D_MESSAGE,C2DM permission.,Signature,No,Yes (Used internally),NONE (private permission),,,,android.intent.category.MASTER_CLEAR.permission.C2D_MESSAGE,C2DM permission.
CACHE_CONTENT,Allows an application to cache content.,Not for use by 3rd-parties | Signature | documenter,No,Yes,NONE (sdcard),,,,,Allows an application to cache content.
CALL_COMPANION_APP,Allows an app which implements the InCallService API to be eligible to be enabled as a calling companion app.,Normal,No,No,NONE (PHONE),,,,,Allows an app which implements the InCallService API to be eligible to be enabled as a calling companion app. This means that the Telecom framework will bind to the app's InCallService implementation when there are calls active. The app can use the InCallService API to view information about calls on the system and control these calls.
CALL_PHONE,Allows an application to initiate a phone call without going through the Dialer user interface for the user to confirm the call.,Dangerous,No,No,UNDEFINED (PHONE),,,,,Allows an application to initiate a phone call without going through the Dialer user interface for the user to confirm the call.
